699,754,665
1634,1778,1689
1571,1516,1605
68,81,102
102,81,115
47,81,68
608,697,663
807,773,718
786,697,731
752,697,786
663,697,752
718,663,752
752,807,718
605,639,694
1267,1301,1356
1356,1411,1322
1322,1267,1356
1657,1568,1602
1602,1568,1513
1513,1547,1602
1602,1547,1636
667,701,756
756,722,667
788,754,699
996,941,1030
1522,1433,1467
1370,1425,1336
1561,1527,1472
810,755,844
776,742,687
831,742,776
386,475,441
530,496,441
441,475,530
756,701,790
790,701,735
735,824,790
1601,1656,1567
630,685,596
397,342,431
431,342,376
1723,1634,1668
943,854,888
888,977,943
922,977,888
1176,1231,1142
1307,1341,1396
1396,1362,1307
1129,1163,1218
1019,985,930
930,985,896
1142,1231,1197
1220,1275,1186
340,306,285
89,123,110
102,123,89
89,68,102
110,123,144
168,113,147
1223,1312,1278
1223,1134,1168
1100,1134,1189
1278,1244,1189
1189,1134,1223
1189,1223,1278
1045,1134,1100
1482,1516,1571
1160,1105,1194
1194,1105,1139
1126,1092,1037
1037,1092,1003
948,1037,1003
1095,1150,1061
1061,1006,1095
642,697,608
731,697,642
579,545,490
1322,1411,1377
1288,1322,1377
1377,1343,1288
1712,1657,1801
1398,1343,1432
1432,1343,1377
1542,1508,1453
1364,1398,1453
1500,1589,1555
1534,1589,1500
1636,1780,1691
1602,1636,1691
1136,1102,1047
1157,1102,1191
1191,1102,1136
1317,1372,1283
1495,1440,1529
1348,1382,1437
1636,1547,1581
1581,1547,1492
1293,1382,1348
1094,1039,1128
1081,1170,1136
1136,1047,1081
1044,989,1078
1078,1133,1044
662,751,717
1374,1429,1340
942,853,887
1175,1230,1141
1141,1230,1196
843,754,788
809,754,843
843,898,809
1043,1077,1132
988,1077,1043
907,818,852
907,941,996
852,941,907
996,1030,1085
1221,1276,1187
1187,1132,1221
1119,1174,1085
1085,1030,1119
1441,1530,1496
1271,1326,1237
1271,1237,1182
1614,1669,1580
1614,1559,1648
1132,1077,1166
1221,1132,1166
1166,1255,1221
1200,1255,1166
1323,1268,1357
1289,1255,1200
1577,1522,1611
1221,1255,1310
1310,1276,1221
1438,1527,1493
1472,1527,1438
1637,1548,1582
1582,1548,1493
1493,1527,1582
1493,1548,1459
1459,1548,1514
1459,1425,1370
1514,1425,1459
1205,1294,1260
1205,1150,1239
1239,1294,1205
1328,1294,1239
1328,1362,1417
1192,1103,1137
1158,1103,1192
1048,1082,1137
1137,1103,1048
26,47,34
242,208,187
43,64,51
409,375,354
629,663,718
959,870,904
810,844,899
687,742,653
721,776,687
721,755,810
810,776,721
1030,941,975
865,810,899
865,776,810
831,776,865
797,742,831
769,824,735
845,756,790
541,575,630
630,596,541
816,871,782
1672,1727,1638
1570,1515,1604
596,685,651
651,685,740
1096,1130,1185
1130,1164,1219
1185,1130,1219
986,952,897
88,54,67
67,101,88
376,342,321
703,737,792
1148,1093,1182
1182,1237,1148
826,737,771
792,737,826
1601,1567,1512
1635,1669,1724
1580,1669,1635
957,991,1046
1046,991,1080
902,991,957
902,813,847
868,813,902
902,957,868
936,991,902
902,847,936
669,614,703
800,889,855
1588,1554,1499
1622,1677,1588
1567,1656,1622
1232,1177,1266
1266,1321,1232
350,384,439
439,405,350
397,452,363
363,452,418
363,342,397
308,342,363
418,384,363
376,410,465
431,376,465
1366,1400,1455
1421,1366,1455
1693,1748,1604
1693,1604,1638
1638,1782,1693
1659,1625,1570
1604,1748,1659
1570,1604,1659
1766,1677,1622
1346,1312,1257
1168,1202,1257
