-0.1401,-0.11071,5.0527,0,0
-0.23001,-0.028342,5.0401,0,0
-0.12483,-0.28471,5.1063,0,0
-0.0089902,0.060294,5.1436,0,0
-0.38198,-0.1535,5.0745,0,0
0.092162,-0.25846,5.0856,0,0
-0.21966,0.18526,5.1707,0,0
-0.29174,-0.4027,5.137,0,0
0.18925,0.0095668,5.1192,0,0
-0.47984,0.029529,5.0562,0,0
0.024857,-0.46321,5.0788,0,0
-0.014321,0.29028,5.2333,0,0
-0.51366,-0.3272,5.1436,0,0
0.29618,-0.20663,5.1106,0,0
-0.41077,0.27429,5.1901,0,0
-0.20237,-0.59128,5.1609,0,0
0.23791,0.20787,5.0944,0,0
-0.64611,-0.089786,5.061,0,0
0.22868,-0.47769,5.0512,0,0
-0.16597,0.4488,5.3006,0,0
-0.50468,-0.54761,5.2458,0,0
0.41757,-0.035678,5.0549,0,1
-0.61598,0.2204,5.0885,0,0
-0.0088117,-0.69429,5.1353,0,0
0.16424,0.42039,5.1437,0,0
-0.73406,-0.3002,5.1317,0,0
0.42571,-0.37213,5.0259,0,0
-0.39478,0.49785,5.2261,0,0
-0.36597,-0.73869,5.1892,0,0
0.43864,0.19346,4.9875,0,0
-0.78522,0.05934,5.0033,0,0
0.23159,-0.68876,5.0714,0,0
-0.017775,0.60104,5.2506,0,0
-0.71002,-0.55209,5.1566,0,0
0.56408,-0.16905,4.9724,0,0
-0.64437,0.4344,5.1559,0,0
-0.13643,-0.86222,5.1435,0,0
0.35966,0.4402,5.0161,0,0
-0.88359,-0.17962,4.9659,0,0
0.4692,-0.57315,5.0225,0,0
-0.28312,0.67548,5.1855,0,0
-0.568,-0.79069,5.1472,0,0
0.61291,0.095656,4.934,0,1
-0.86596,0.26179,5.1003,0,0
0.14564,-0.88143,5.078,0,0
0.17624,0.66637,5.1258,0,0
-0.89525,-0.46859,5.0459,0,0
0.64742,-0.35351,4.9173,0,0
-0.57589,0.63289,5.0942,0,0
-0.32467,-0.97025,5.1435,0,0
0.54962,0.37923,4.8903,0,0
-0.99282,-0.0044387,4.9182,0,0
0.43356,-0.78467,5.0191,0,0
