1170,1115,1204
1168,1079,1113
1094,1060,1005
1128,1183,1094
971,916,1005
1005,1060,971
170,204,225
340,361,306
395,361,340
497,586,552
552,463,497
497,463,408
101,122,88
27,48,35
1136,1191,1102
1225,1191,1136
1136,1170,1225
1170,1204,1259
1225,1170,1259
1181,1147,1092
1113,1079,1024
1024,1079,990
990,935,1024
1092,1147,1058
1058,1147,1113
1058,1113,1024
568,602,657
1110,1076,1021
1238,1204,1149
1149,1060,1094
1149,1183,1238
1094,1183,1149
1204,1115,1149
1149,1115,1060
1217,1183,1128
990,956,901
901,935,990
1223,1168,1257
503,448,537
608,574,519
663,574,608
922,956,1011
841,807,752
516,550,605
537,448,482
482,427,516
367,333,312
299,333,354
1060,1115,1026
971,1060,1026
191,170,225
191,136,170
246,212,191
191,225,246
772,738,683
717,772,683
903,992,958
958,869,903
882,916,971
225,204,259
293,314,259
259,204,238
238,293,259
429,484,395
531,586,497
531,476,565
442,497,408
442,476,531
531,497,442
683,738,649
649,594,683
4,12,7
232,253,198
88,122,109
17,12,4
101,88,67
54,46,67
67,88,54
93,72,106
177,232,198
135,122,101
3,1,5
5,8,3
40,48,27
11,32,19
19,32,40
40,27,19
21,42,29
170,136,115
235,180,214
748,659,693
397,486,452
274,253,308
287,253,232
308,253,287
313,258,292
292,347,313
761,672,706
774,863,829
740,685,774
774,829,740
651,685,740
740,706,651
1136,1102,1047
958,992,1047
948,914,859
1181,1092,1126
1236,1147,1181
1024,935,969
1058,1024,969
584,550,495
584,495,529
487,521,576
563,529,474
1016,1050,1105
906,872,817
995,1084,1050
906,940,995
1029,1084,995
995,940,1029
725,759,814
903,869,814
814,869,780
780,725,814
670,759,725
670,581,615
623,568,657
534,479,568
534,568,623
636,581,670
670,725,636
1055,1144,1110
1021,966,1055
1110,1021,1055
767,801,856
856,822,767
856,801,890
890,945,856
1110,1144,1199
1233,1144,1178
1199,1144,1233
1233,1288,1199
1202,1147,1236
1113,1147,1202
1202,1168,1113
1257,1168,1202
654,743,709
544,578,633
620,586,531
531,565,620
620,565,654
654,709,620
1217,1128,1162
1272,1183,1217
1036,1125,1091
1091,1125,1180
1269,1235,1180
1180,1235,1146
1146,1091,1180
1180,1125,1214
1180,1214,1269
1083,1138,1049
1214,1125,1159
1064,1153,1119
1208,1153,1242
1119,1153,1208
846,935,901
668,613,702
702,757,668
681,715,770
770,736,681
930,841,875
1040,985,1074
951,985,1040
1163,1252,1218
608,519,553
498,587,553
951,917,862
896,807,841
862,807,896
896,951,862
896,985,951
930,985,896
896,841,930
1006,917,951
972,917,1006
1006,1061,972
1006,951,1040
972,938,883
883,917,972
901,956,867
867,956,922
964,930,875
1045,956,990
1011,956,1045
1100,1011,1045
990,1079,1045
511,600,566
634,689,600
697,663,608
752,663,697
817,872,783
749,694,783
851,940,906
906,817,851
804,715,749
770,715,804
804,859,770
393,448,359
482,448,393
393,427,482
626,715,681
223,244,189
223,168,202
189,168,223
126,160,181
181,160,215
189,244,210
231,176,210
488,522,577
174,153,208
318,284,263
365,386,331
263,208,242
441,386,475
365,399,454
454,399,488
331,276,310
310,365,331
1081,992,1026
1047,992,1081
1081,1136,1047
1081,1170,1136
1081,1115,1170
1026,1115,1081
398,377,432
432,487,398
432,377,466
432,521,487
466,521,432
390,479,445
445,479,534
534,500,445
356,390,445
356,301,335
335,390,356
309,254,288
288,254,233
343,377,398
343,309,288
343,398,364
364,309,343
233,212,267
267,212,246
246,301,267
288,233,267
246,225,280
259,314,280
280,225,259
280,314,335
280,301,246
335,301,280
518,463,552
573,484,518
518,552,607
607,573,518
518,484,429
429,463,518
683,594,628
628,717,683
937,992,903
1026,992,937
937,971,1026
882,971,937
827,738,772
793,738,827
827,882,793
827,916,882
238,204,183
272,251,306
272,293,238
327,361,382
327,293,272
306,361,327
272,306,327
492,581,547
547,581,636
636,602,547
458,492,547
539,594,505
539,484,573
628,594,539
539,573,628
471,437,382
505,594,560
560,594,649
649,615,560
471,505,560
395,484,450
450,484,539
539,505,450
450,361,395
408,463,374
374,463,429
395,340,374
429,395,374
5,1,2
2,1,4
4,7,2
70,91,57
774,685,719
664,753,719
525,436,470
381,360,415
470,436,381
381,415,470
70,49,83
62,96,83
83,49,62
109,164,130
130,96,109
54,88,75
75,88,109
109,96,75
75,96,62
25,12,17
19,27,14
27,35,14
132,153,119
119,140,106
119,153,174
174,140,119
203,148,182
161,216,182
203,258,224
245,190,224
250,284,305
271,216,250
250,305,271
93,106,127
182,148,127
127,161,182
106,140,127
127,140,161
59,72,93
143,164,109
198,164,143
177,198,143
109,122,143
143,122,177
135,101,114
127,148,114
114,93,127
169,190,135
224,190,169
169,203,224
169,148,203
114,148,169
169,135,114
156,122,135
135,190,156
177,122,156
29,42,50
24,32,11
45,32,24
34,42,21
94,128,115
65,86,52
52,44,65
99,86,65
31,44,52
52,39,31
31,39,18
