1615,1759,1670
699,754,665
1160,1105,1194
987,1076,1042
987,1042,953
1042,1076,1131
1131,1076,1165
1165,1220,1131
1637,1692,1603
1548,1637,1603
859,914,825
2,1,4
5,1,2
443,532,498
477,532,443
477,443,388
566,532,477
477,511,566
566,511,600
600,655,566
1678,1589,1623
1623,1767,1678
1509,1454,1543
801,712,746
746,712,657
1437,1471,1526
1382,1293,1327
1382,1471,1437
1416,1471,1382
1382,1327,1416
1356,1390,1445
1301,1390,1356
968,1023,934
934,900,845
845,900,811
955,1010,921
293,259,238
314,259,293
1327,1293,1238
1238,1293,1204
1204,1149,1238
1238,1272,1327
363,342,397
4,1,6
949,894,983
983,894,928
928,894,839
606,661,572
750,784,839
813,779,724
518,552,607
1270,1236,1181
1325,1236,1270
1592,1736,1647
1626,1715,1770
1453,1419,1364
809,754,843
665,576,610
699,665,610
1110,1199,1165
1144,1199,1110
1165,1076,1110
1097,1042,1131
1529,1440,1474
1652,1707,1563
1563,1529,1474
1720,1631,1576
1514,1459,1548
1548,1603,1514
807,896,862
862,773,807
1116,1027,1061
1137,1226,1192
1781,1692,1637
1302,1391,1357
1315,1226,1260
1336,1391,1302
1247,1158,1192
1336,1302,1247
1276,1187,1221
1221,1255,1310
1276,1221,1310
1289,1255,1200
487,453,398
542,453,487
487,576,542
757,723,668
825,914,880
1092,1126,1181
1058,1113,1024
1160,1126,1071
1071,1105,1160
859,825,770
825,736,770
770,736,681
838,893,804
804,893,859
804,859,770
109,130,96
201,222,167
238,259,204
204,259,225
154,175,120
684,773,739
642,553,587
498,532,587
587,553,498
833,922,888
833,888,799
723,778,689
689,655,600
1733,1589,1678
1598,1509,1543
1687,1742,1598
1598,1742,1653
1708,1653,1797
1632,1776,1687
1721,1776,1632
1632,1687,1598
1598,1543,1632
1706,1562,1651
1651,1562,1596
1651,1795,1706
1617,1562,1706
1727,1638,1583
136,191,157
157,123,136
288,254,233
1505,1471,1416
1416,1450,1505
1327,1272,1361
1416,1327,1361
1361,1272,1306
1361,1450,1416
1492,1437,1526
1348,1293,1382
1382,1437,1348
1623,1589,1534
1534,1589,1500
1500,1445,1534
1301,1356,1267
1267,1356,1322
1267,1178,1212
1212,1301,1267
743,832,798
675,764,730
607,552,641
641,696,607
730,696,641
641,675,730
654,599,688
688,743,654
887,832,921
798,832,887
866,955,921
866,900,955
811,900,866
921,832,866
479,424,513
348,314,293
293,238,272
471,382,416
416,505,471
594,505,539
539,628,594
594,628,683
793,704,738
1081,992,1026
1047,992,1081
958,992,1047
1115,1149,1204
1204,1170,1115
1115,1170,1081
1081,1026,1115
1005,1039,1094
1094,1039,1128
1128,1162,1217
1306,1272,1217
1128,1039,1073
1073,1162,1128
1612,1756,1667
1667,1578,1612
1701,1756,1612
1523,1557,1612
1612,1578,1523
879,968,934
879,790,824
845,790,879
879,934,845
913,968,879
879,824,913
269,324,290
468,502,557
756,667,701
756,845,811
756,790,845
701,790,756
544,455,489
413,502,468
1612,1557,1646
1701,1612,1646
1447,1481,1536
1392,1481,1447
583,528,617
1484,1450,1395
1306,1340,1395
1395,1450,1361
1361,1306,1395
1539,1450,1484
1505,1450,1539
1539,1594,1505
1484,1573,1539
1518,1573,1484
1201,1290,1256
1256,1290,1345
1345,1290,1379
1379,1434,1345
248,282,303
303,269,248
303,324,269
227,282,248
66,100,87
90,77,56
27,35,14
1059,1093,1148
1004,1093,1059
1004,915,949
1059,970,1004
1004,970,915
818,784,729
729,674,763
763,818,729
839,784,873
928,839,873
873,784,818
873,962,928
873,907,962
818,907,873
538,483,572
538,593,504
695,661,606
750,661,695
695,784,750
729,784,695
839,894,805
750,839,805
826,737,771
771,737,682
572,661,627
682,593,627
627,593,538
538,572,627
580,525,614
915,970,881
881,826,915
847,813,758
758,813,724
368,347,402
402,347,436
1313,1368,1279
1279,1224,1313
1080,1046,991
991,1046,957
1114,1059,1148
510,455,544
544,599,510
209,175,154
230,175,209
209,264,230
319,264,298
463,552,518
353,319,298
353,387,442
442,408,353
573,518,607
573,628,539
607,696,662
662,628,573
573,607,662
1005,916,950
950,1039,1005
1215,1126,1160
1181,1126,1215
1270,1181,1215
1215,1304,1270
1291,1236,1325
1291,1346,1257
1380,1346,1291
1291,1325,1380
1681,1736,1592
1681,1592,1626
1626,1770,1681
1503,1469,1414
1414,1469,1380
1380,1325,1414
1503,1592,1558
1558,1592,1647
1647,1613,1558
1558,1469,1503
1558,1613,1524
1524,1469,1558
1660,1605,1749
1804,1715,1660
1448,1503,1414
1668,1613,1757
1702,1613,1647
1702,1647,1791
1757,1613,1702
1165,1199,1254
1254,1343,1309
1254,1220,1165
1309,1220,1254
1576,1631,1542
1398,1364,1309
1453,1364,1398
1309,1343,1398
1089,1178,1144
1089,1000,1034
1034,1000,945
767,712,801
767,801,856
898,809,843
898,953,864
864,809,898
987,953,898
898,932,987
843,932,898
466,411,500
377,411,466
500,411,445
445,479,534
534,500,445
1110,1076,1021
1021,932,966
1021,1076,987
987,932,1021
1055,1144,1110
1055,1000,1089
1089,1144,1055
966,1000,1055
1021,966,1055
1055,1110,1021
1749,1605,1694
1351,1440,1406
1262,1296,1351
1406,1317,1351
1351,1317,1262
1495,1461,1406
1550,1461,1495
1406,1440,1495
1495,1440,1529
1673,1728,1584
1584,1550,1495
1495,1529,1584
1338,1304,1249
1160,1194,1249
1249,1194,1283
1283,1338,1249
1249,1304,1215
1215,1160,1249
1275,1220,1309
1309,1364,1275
1097,1131,1186
1275,1241,1186
1131,1220,1186
1186,1220,1275
1385,1419,1474
1474,1440,1385
1385,1440,1351
1351,1296,1385
1152,1097,1186
1186,1241,1152
1644,1589,1733
1618,1529,1563
1584,1529,1618
1618,1673,1584
1563,1707,1618
1618,1707,1762
1762,1673,1618
1796,1707,1652
1775,1631,1720
862,896,951
951,1006,917
951,917,862
1061,1027,972
917,1006,972
972,1006,1061
1082,1027,1116
1082,993,1027
1066,1032,977
888,922,977
977,1032,943
943,888,977
1011,922,956
977,922,1011
1011,1066,977
1066,1155,1121
1121,1032,1066
1582,1637,1548
1582,1726,1637
1349,1315,1260
1467,1378,1412
1213,1158,1247
1247,1302,1213
1281,1226,1315
1192,1226,1281
1247,1192,1281
1281,1336,1247
1598,1653,1564
1564,1509,1598
1564,1653,1708
1352,1441,1407
1263,1297,1352
1221,1187,1132
1365,1276,1310
1331,1276,1365
1399,1454,1365
1365,1310,1399
1587,1621,1676
1532,1621,1587
1587,1498,1532
1553,1498,1587
1676,1731,1587
550,495,584
584,639,550
207,152,186
165,144,199
233,254,199
432,487,398
432,377,466
432,343,377
398,343,432
440,495,406
220,254,275
199,254,220
186,165,220
220,165,199
398,453,364
364,453,419
364,343,398
665,754,720
720,754,809
741,652,686
741,830,796
542,576,631
631,576,665
631,665,720
720,686,631
757,668,702
990,935,1024
812,778,723
812,723,757
791,736,825
791,825,880
702,736,791
791,757,702
1037,1126,1092
1071,1126,1037
1037,982,1071
1181,1236,1147
1092,1181,1147
1147,1058,1092
1147,1113,1058
969,935,880
1024,935,969
880,914,969
969,1058,1024
1071,982,1016
1016,1105,1071
1050,1105,1016
770,681,715
804,770,715
139,105,118
110,144,165
123,144,110
57,70,91
125,112,91
96,130,117
117,130,151
2,4,7
83,96,117
83,70,49
36,28,49
36,70,57
49,70,36
133,112,167
133,99,112
120,99,133
133,154,120
167,112,146
125,180,146
146,112,125
146,180,201
146,201,167
225,191,170
204,225,170
170,191,136
136,115,170
73,107,94
86,107,73
86,99,120
120,107,86
721,810,776
1069,980,1014
1014,980,925
925,870,959
959,1014,925
676,642,587
841,896,807
854,888,943
799,888,854
744,655,689
744,833,799
744,778,833
689,778,744
1539,1573,1628
1628,1594,1539
1572,1517,1606
1038,983,1072
949,983,1038
1038,1093,1004
1004,949,1038
962,907,996
1051,962,996
1606,1640,1695
1695,1750,1606
1700,1611,1645
1645,1789,1700
1755,1611,1700
1645,1611,1556
1556,1611,1522
1522,1467,1556
1310,1255,1344
1399,1310,1344
1344,1255,1289
1289,1378,1344
1433,1378,1467
1433,1467,1522
1344,1378,1433
1433,1399,1344
1695,1640,1784
1433,1522,1488
1488,1399,1433
1543,1454,1488
1488,1454,1399
1577,1721,1632
1522,1611,1577
1488,1522,1577
1632,1543,1577
1577,1543,1488
1431,1397,1342
1643,1554,1588
1651,1596,1740
1740,1596,1685
1685,1596,1630
1630,1596,1541
1630,1719,1774
1774,1685,1630
1431,1520,1486
1486,1397,1431
1452,1397,1486
1541,1452,1486
1303,1248,1337
1392,1303,1337
1583,1638,1549
1528,1562,1617
1617,1583,1528
1672,1583,1617
1727,1583,1672
1591,1735,1646
1646,1557,1591
1591,1536,1625
272,238,217
217,251,272
162,107,141
120,175,141
141,107,120
157,191,212
246,191,225
212,191,246
377,343,322
322,343,288
369,314,348
348,403,369
780,814,869
958,924,869
835,801,746
835,746,780
869,924,835
835,780,869
1560,1471,1505
1526,1471,1560
1560,1615,1526
1649,1615,1560
1560,1594,1649
1505,1594,1560
1492,1526,1581
1636,1547,1581
1581,1547,1492
1615,1670,1581
1526,1615,1581
1581,1670,1725
1725,1636,1581
1568,1623,1534
1204,1293,1259
1259,1293,1348
1348,1314,1259
1259,1170,1204
1225,1170,1259
1259,1314,1225
1403,1314,1348
1369,1314,1403
1403,1437,1492
1348,1437,1403
1288,1343,1254
1254,1199,1288
1322,1356,1411
1411,1356,1445
1411,1445,1500
1201,1256,1167
934,1023,989
955,900,989
989,900,934
1099,1133,1188
853,764,798
887,942,853
853,798,887
633,599,544
688,599,633
722,667,756
756,811,722
633,667,722
722,688,633
785,696,730
586,675,641
641,552,586
620,675,586
586,531,620
887,921,976
921,1010,976
1031,942,976
976,942,887
649,704,615
738,704,649
649,594,683
683,738,649
403,492,458
513,424,458
458,424,369
369,403,458
272,251,306
327,293,272
327,382,348
348,293,327
327,272,306
437,382,471
437,492,403
348,382,437
437,403,348
526,492,437
437,471,526
539,505,450
450,505,416
772,738,683
759,704,793
903,992,958
869,814,903
903,958,869
1026,992,937
937,992,903
1136,1047,1081
1136,1102,1047
1136,1170,1225
1081,1170,1136
1013,924,958
1047,1102,1013
958,1047,1013
1251,1162,1196
1217,1162,1251
1251,1306,1217
1251,1340,1306
1086,1141,1052
1060,1149,1115
1094,1149,1060
1060,1005,1094
1115,1026,1060
1094,1128,1183
1183,1272,1238
1238,1149,1183
1183,1149,1094
1217,1272,1183
1183,1128,1217
1790,1701,1646
1599,1565,1510
1510,1544,1599
926,981,892
892,837,926
1214,1248,1303
1002,968,913
235,269,290
201,180,235
256,222,201
290,311,256
256,201,235
235,290,256
701,667,612
413,468,379
523,468,557
523,557,612
1379,1413,1468
1468,1557,1523
1523,1434,1468
1468,1434,1379
1502,1413,1447
1502,1557,1468
1468,1413,1502
1591,1557,1502
1447,1536,1502
1502,1536,1591
321,300,355
452,363,397
617,528,562
507,596,562
562,596,651
651,617,562
646,701,612
612,557,646
447,392,481
447,502,413
481,392,426
439,528,494
494,528,583
583,549,494
1709,1764,1620
1620,1565,1709
1620,1764,1675
1510,1565,1476
1345,1434,1400
831,742,776
237,182,216
462,551,517
517,551,606
517,606,572
572,483,517
462,407,496
496,551,462
585,551,496
496,530,585
373,407,462
373,339,318
284,263,318
318,339,284
159,180,125
125,138,159
303,282,337
337,371,426
426,392,337
358,324,303
337,392,358
358,303,337
379,324,358
358,413,379
358,392,447
447,413,358
308,342,363
164,130,109
219,240,185
164,219,185
151,130,185
185,130,164
185,240,206
206,151,185
329,363,384
308,363,329
350,384,439
329,384,350
350,295,329
111,77,90
166,187,132
111,145,166
166,132,111
153,119,132
132,187,153
174,119,153
360,339,394
271,237,216
216,250,271
504,415,449
449,415,360
360,394,449
394,483,449
449,483,538
538,504,449
50,29,42
45,32,24
24,32,11
37,58,45
45,24,37
37,29,50
